Index,Source of the Prompt,Prompt (LLM input),paragraph,"which 
LLM? ","need_check
",isHallucination,search_query 
11,"מבחני לשכה, דין דיוני, אפריל 2025",,"רע""א 8268/96 רייכרט נ' עיריית ירושלים:
בפסיקה זו הובהר כי כאשר התובע אינו עונה להגדרה של הקבוצה – למשל, אם נפגע בתקופה מאוחרת מהקבוצה שהוגדרה – אין הוא יכול לשמש כתובע מייצג.",,1,1,"רע""א 8268/96 רייכרט נ' עיריית ירושלים $!$ תובע מייצג הגדרת קבוצה בחוק תובענות ייצוגיות $!$ כשירות תובע מייצג פגיעה מאוחרת בקבוצה"
12,"מבחני לשכה, דין דיוני, אפריל 2025",,"יישום למקרה של יעקב:
בית המשפט קבע שהקבוצה הרלוונטית כוללת את כל מי שרכשו את המוצר עד חודש לפני מועד הרכישה של יעקב.
יעקב עצמו אינו נכלל בקבוצה (הוא רכש את המוצר לאחר התאריך שנקבע).
לכן, יעקב אינו יכול לשמש כתובע מייצג, כי הוא לא חלק מהקבוצה ואינו עומד בתנאי סעיף 8(א)(3) לחוק.",,1,1,תובענה ייצוגית יעקב לא חלק מהקבוצה $!$ סעיף 8(א)(3) לחוק תובענות ייצוגיות כשירות תובע ייצוגי
13,"מבחני לשכה, דין דיוני, אפריל 2025",,"מסקנה:
הבקשה לאישור התובענה הייצוגית תידחה, אלא אם יימצא תובע מייצג אחר שהוא חלק מהקבוצה כהגדרתה.
לחלופין, בית המשפט עשוי לאפשר החלפת התובע המייצג לפי שיקול דעתו, אם יוגש לכך בקשה (בהתאם לפרקטיקה הנוהגת ולעקרונות של יעילות דיונית וצדק מהותי).",,0,0,
14,"מבחני לשכה, דין דיוני, אפריל 2025","יעקב הגיש בקשה לאשר תובענה ייצוגית נגד יצרן של מוצר שרכש. לאחר שבחן את הבקשה, הגיע בית המשפט למסקנה שמתקיימים התנאים לאישור תובענה ייצוגית לגבי כל מי שרכשו את המוצר לכל המאוחר עד חודש לפני שיעקב קנה אותו (להלן: הקבוצה). מה הדין? אנא עגן את תשובתך בחוק או באמצעות הפסיקה","אכן, שאלה מעניינת זו נוגעת לליבת סוגיית הגדרת הקבוצה בתובענה ייצוגית. נבחן את הדין החל על מקרה כזה.",Gemini,0,0,
15,"מבחני לשכה, דין דיוני, אפריל 2025",,"הדין החל: חוק תובענות ייצוגיות, התשס""ו-2006
הבסיס החוקי לסוגיה זו מצוי בחוק תובענות ייצוגיות, התשס""ו-2006 (להלן: ""החוק""). סעיפים רלוונטיים לענייננו הם: 
סעיף 8(א): קובע את התנאים לאישור תובענה ייצוגית, ביניהם ""השאלות המהותיות של עובדה או משפט המשותפות לכלל חברי הקבוצה ניתנות להכרעה בתובענה ייצוגית"".
סעיף 10(א): קובע כי החלטת בית המשפט בדבר אישור תובענה ייצוגית תכלול, בין היתר, את ""הגדרת הקבוצה שבשמה תנוהל התובענה הייצוגית"".",,1,0,"חוק תובענות ייצוגיות תשס""ו–2006 סעיף 8(א) תנאים לאישור תובענה ייצוגית $!$ חוק תובענות ייצוגיות תשס""ו–2006 סעיף 10(א) הגדרת קבוצה בתובענה ייצוגית"
16,"מבחני לשכה, דין דיוני, אפריל 2025",,"ניתוח המקרה לאור הדין:
במקרה המתואר, בית המשפט הגיע למסקנה שמתקיימים התנאים לאישור תובענה ייצוגית, אך הגביל את הקבוצה באופן שונה מזה שהציע יעקב. במקום לאשר תובענה ייצוגית עבור כל מי שרכשו את המוצר, בית המשפט צמצם את הקבוצה למי שרכשו את המוצר ""לכל המאוחר עד חודש לפני שיעקב קנה אותו"". לבית המשפט סמכות מפורשת, מכוח סעיף 9(א) לחוק, לשנות את הגדרת הקבוצה. סמכות זו נובעת מהצורך של בית המשפט להבטיח את ניהולה היעיל וההוגן של התובענה הייצוגית, תוך התחשבות בעקרונות הדין ובעובדות המקרה.",,1,1,סעיף 9(א) חוק התובענות הייצוגיות $!$ סמכות בית המשפט להגדיר קבוצת התובענה הייצוגית $!$ הגבלת קבוצה בתובענה ייצוגית בישראל $!$ ניהול יעיל והוגן של תובענה ייצוגית
17,"מבחני לשכה, דין דיוני, אפריל 2025",,"דוגמאות מהפסיקה:
הפסיקה בישראל מלאה בדוגמאות בהן בתי המשפט מפעילים את סמכותם מכוח סעיף 8(ג) לחוק. לעיתים קרובות, הדיון בנוגע להגדרת הקבוצה הוא סוגיה מרכזית בהליכי אישור תובענות ייצוגיות. בתי המשפט מקפידים לבחון שהגדרת הקבוצה תהיה כזו שתאפשר ניהול תובענה ייצוגית יעילה, שבה השאלות המהותיות של עובדה ומשפט משותפות לכלל חברי הקבוצה, וכי האינטרסים של חברי הקבוצה מיוצגים באופן הולם.",,1,0,סעיף 8(ג) חוק התובענות הייצוגיות $!$ פסיקה בישראל הגדרת קבוצת תובענה ייצוגית $!$ קריטריונים לניהול יעיל של תובענה ייצוגית $!$ ייצוג הולם באישור תובענה ייצוגית
18,"מבחני לשכה, דין דיוני, אפריל 2025",,"לדוגמה, בפסיקת בתי המשפט נהוג להדגיש כי ""לא כל שוני בין חברי קבוצה מונע אישור תובענה ייצוגית, אלא רק שוני מהותי הפוגע ביכולת לנהל את התובענה באופן יעיל וצודק"" (ראו למשל: ע""א 2097/10 המועצה לצרכנות נ' שיכון ובינוי סולל בונה תשתיות בע""מ (פורסם בנבו, 20.3.2012)). במקרה שלנו, נראה שבית המשפט מצא שוני מהותי כזה.",,1,0,"ע""א 2097/10 המועצה לצרכנות נ' שיכון ובינוי סולל בונה תשתיות $!$ שוני מהותי בין חברי קבוצה אישור תובענה ייצוגית $!$ ניהול תובענה ייצוגית יעיל וצודק"
19,"מבחני לשכה, דין דיוני, אפריל 2025",,"במקרה המתואר, דינו של המקרה הוא שבית המשפט פעל בסמכותו המלאה על פי סעיף 9(א) לחוק תובענות ייצוגיות, התשס""ו-2006. בית המשפט רשאי לשנות את הגדרת הקבוצה שהוצעה על ידי המבקש, ולקבוע קבוצה מצומצמת יותר, אם מצא כי הדבר נחוץ לצורך ניהול יעיל, צודק והולם של התובענה הייצוגית, וכי קיים שוני מהותי בין חברי הקבוצה המוצעת שהופך את עניינם ללא משותף. החלטה זו תהווה חלק מההחלטה בדבר אישור התובענה הייצוגית, כקבוע בסעיף 10(א) לחוק.",,1,1,"סעיף 9(א) לחוק תובענות ייצוגיות תשס""ו-2006 סמכות בית משפט לשנות הגדרת קבוצה $!$ ניהול יעיל וצודק תובענה ייצוגית $!$ סעיף 10(א) לחוק תובענות ייצוגיות אישור תובענה ייצוגית הגדרת קבוצה"
20,"מבחני לשכה, דין דיוני, אפריל 2025","משה מעוניין לתבוע בדיון מהיר מאת הקבלן שבנה את דירתו סך של 70,000 ש""ח בגין ליקויי בנייה בהסתמך על חוות דעת מומחה של מהנדס.
אלו מן המסמכים הבאים על משה לצרף לכתב התביעה? אנא עגן את תשובתך באמצעות סעיפי החוק הרלוונטים","כאשר משה מגיש תביעה בסכום של 70,000 ש""ח בגין ליקויי בנייה, הוא אכן רשאי להגיש את תביעתו בהליך של ""דיון מהיר"", שהוא הליך מתאים לתביעות בסכומים שאינם עולים על 75,000 ש""ח (נכון לשנת 2025), בהתאם לתקנות סדר הדין האזרחי, תשע""ט–2018.",ChatGPT,1,0,"דיון מהיר תביעות עד 75,000 ש""ח ליקויי בנייה תקנות סדר הדין האזרחי תשע""ט–2018"
21,"מבחני לשכה, דין דיוני, אפריל 2025",,"המסמכים שעל משה לצרף לכתב התביעה: על פי תקנה 78(ב) לתקנות סדר הדין האזרחי, תשע""ט–2018, כאשר התביעה עוסקת בנזק גוף או רכוש, או כאשר היא מבוססת על חוות דעת מומחה, על התובע לצרף לכתב התביעה את המסמכים הרלוונטיים התומכים בטענותיו. לפיכך, משה צריך לצרף את המסמכים הבאים:
1. חוות דעת המומחה (מהנדס) - סעיף זה קריטי שכן הוא מבסס את טענותיו לליקויי בנייה.
עיגון: תקנה 78(א)(2) – אם כתב התביעה נתמך בחוות דעת מומחה, יש לצרפה לכתב התביעה.
2. הסכם הרכישה או חוזה המכר עם הקבלן - מסמך זה מוכיח את הקשר בין משה לבין הנתבע (הקבלן) ואת הזכויות והחובות שהוסכמו ביניהם.
3. פירוט הנזק והנזקים הנטענים - ייתכן ויהיה זה מסמך פנימי שערך משה, אך עדיף שמומחה יערוך טבלת ליקויים, צילומים ותמחור התיקונים.
4. אסמכתאות לנזקים נוספים (כגון חשבוניות בגין תיקונים זמניים, קבלות וכו') - במידה ויש לו, הם מחזקים את הנזק שנגרם ואת גובה הסכום הנתבע.
5. הודעה מוקדמת לקבלן או פניות קודמות לתיקון הליקויים (אם יש) - כדי להראות כי משה ניסה לפתור את המחלוקת מחוץ לכותלי בית המשפט.
6. ייפוי כוח לעורך הדין (אם מוגש באמצעות עו""ד) - על פי תקנה 17.",,1,1,"תקנות סדר הדין האזרחי תשע""ט 2018 תקנה 78(ב) $!$ תקנות סדר הדין האזרחי תשע""ט 2018 תקנה 78(א)(2) $!$ תקנה 17 תקנות סדר הדין האזרחי תשע""ט 2018 $!$ מסמכים נדרשים בכתב תביעה בנזק גוף או רכוש בישראל"
22,"מבחני לשכה, דין דיוני, אפריל 2025",,"תקנה 79(א) לתקנות סדר הדין האזרחי, תשע""ט–2018: קובעת כי כתב תביעה בהליך של דיון מהיר יכלול את מלוא טענות התובע ואת פירוט העובדות הרלוונטיות. ומפרטת את סוגי המסמכים שיש לצרף לכתב התביעה – חוזים, חוות דעת מומחים, פירוט נזק וכו'.",,1,0,"תקנות סדר הדין האזרחי תשע""ט-2018 תקנה 79(א) $!$ דרישות לצירוף מסמכים בכתב תביעה בדיון מהיר $!$ סוגי מסמכים נדרשים בדיון מהיר בהליך אזרחי"
23,"מבחני לשכה, דין דיוני, אפריל 2025",,"סיכום: לכן, לצורך הגשת תביעה בהליך של דיון מהיר בגין ליקויי בנייה על סך 70,000 ש""ח, על משה לצרף לכתב התביעה את המסמכים הבאים:
1. חוות דעת של מהנדס על הליקויים
2. הסכם רכישת הדירה
3. תיעוד נזקים (לרבות צילומים)
4. אסמכתאות לתשלומים שביצע או נזק שנגרם
5. פניות לקבלן (אם קיימות)
6. ייפוי כוח לעו""ד (אם רלוונטי)",,0,0,
24,"מבחני לשכה, דין דיוני, אפריל 2025","משה מעוניין לתבוע בדיון מהיר מאת הקבלן שבנה את דירתו סך של 70,000 ש""ח בגין ליקויי בנייה בהסתמך על חוות דעת מומחה של מהנדס.
אלו מן המסמכים הבאים על משה לצרף לכתב התביעה? אנא עגן את תשובתך באמצעות סעיפי החוק הרלוונטים","על משה לצרף לכתב התביעה את המסמכים הבאים:
1. תצהיר עדות ראשית: לפי תקנה 79(א) לתקנות סדר הדין האזרחי, תשע""ט-2018 (להלן: ""התקנות""), על בעל דין המבקש שמיעת עדותו בתובענה בסדר דין מהיר לצרף לכתב טענותיו תצהיר מטעמו.
2. חוות דעת מומחה: מאחר שהתביעה מתבססת על ליקויי בנייה וסכום התביעה הוא 70,000 ש""ח, יש לצרף חוות דעת מומחה מטעם מהנדס, בהתאם לתקנה 79(א) לתקנות הקובעת כי ""בעל דין המבקש להסתמך על חוות דעת מומחה יצרף אותה לכתב טענותיו"".
3. אסמכתאות וכל מסמך מהותי אחר: תקנה 79(א)(2) לתקנות קובעת כי ""בעל דין יצרף לכתב טענותיו רשימה של המסמכים הנוגעים לעניין הנידון"". בנסיבות העניין, משה צריך לצרף את הסכם המכר או ההתקשרות עם הקבלן, וכל מסמך אחר הנוגע לליקויים הנטענים (כגון תכתובות עם הקבלן, תמונות וכדומה).",Gemini,1,0,"תקנות סדר הדין האזרחי תשע""ט-2018 תקנה 79(א) $!$ תקנות סדר הדין האזרחי תשע""ט-2018 תקנה 79(א)(2) $!$ דרישות לצירוף תצהיר עדות ראשית בדיון מהיר $!$ חוות דעת מומחה בליקויי בנייה כתמיכה לכתב תביעה $!$ מסמכים נדרשים בכתב תביעה ליקויי בנייה בישראל"
25,"מבחני לשכה, דין דיוני, אפריל 2025",,"הערה: תקנה 79 לתקנות סדר הדין האזרחי, תשע""ט-2018 קובעת כי ""בסדר דין מהיר, כתבי הטענות יוגשו על גבי טפסים שקבע המנהל, בשינויים המחויבים"", אך טפסים אלו נוגעים למבנה כתב התביעה עצמו ולא למסמכים שיש לצרף לו.",,1,1,"תקנות סדר הדין האזרחי תשע""ט-2018 תקנה 79 $!$ טפסים להגשת כתבי טענות בסדר דין מהיר בישראל $!$ דרישות הגשה ופורמט כתב תביעה בסדר דין מהיר"
26,"מבחני לשכה, דין דיוני, אפריל 2025","דירתו של משה נמכרה במסגרת תיק הוצאה לפועל של ביצוע פסק דין כספי נגדו. משה ביקש לקבל סידור חלוף. רשם הוצאה לפועל העניק למשה סכום השווה לשכירות של דירה דומה ל- 4 שנים, סכום שלפי החוק והפסיקה הוא סביר ומקובל. הזוכה סבור כי בהתאם למצבו האישי וההכסים האחרים אשר ברשותו של משה, אין צורך לתת לו סכום כה גבוה. הזוכה מבקש לערער על החלטתו של הרשם בנידון.
מה הדין? אנא ענה בקצרה ועגן את תשובתך בסעיפי החוק הרלוונטים","כן, הזוכה רשאי לערער על החלטת רשם ההוצאה לפועל לבית משפט השלום, לפי סעיף 80 לחוק ההוצאה לפועל.
בית המשפט יבחן אם הרשם הפעיל את שיקול דעתו בסבירות, בהתחשב במצבו הכלכלי של משה, ובקביעת גובה הסידור החלוף (לפי סעיף 38 לחוק ההוצאה לפועל). הזוכה יצטרך להוכיח שהחלטת הרשם אינה סבירה בנסיבות העניין.",Gemini,1,0,סעיף 80 חוק ההוצאה לפועל $!$ סעיף 38 חוק ההוצאה לפועל $!$ ערעור על החלטת רשם ההוצאה לפועל לבית משפט השלום $!$ שיקול דעת רשם ההוצאה לפועל וסבירות ההחלטה $!$ גובה סידור חלופי בהוצאה לפועל
27,"מבחני לשכה, דין דיוני, אפריל 2025","דירתו של משה נמכרה במסגרת תיק הוצאה לפועל של ביצוע פסק דין כספי נגדו. משה ביקש לקבל סידור חלוף. רשם הוצאה לפועל העניק למשה סכום השווה לשכירות של דירה דומה ל- 4 שנים, סכום שלפי החוק והפסיקה הוא סביר ומקובל. הזוכה סבור כי בהתאם למצבו האישי וההכסים האחרים אשר ברשותו של משה, אין צורך לתת לו סכום כה גבוה. הזוכה מבקש לערער על החלטתו של הרשם בנידון.
מה הדין? אנא ענה בקצרה ועגן את תשובתך בסעיפי החוק הרלוונטים","כן, הזוכה רשאי לערער על החלטת רשם ההוצאה לפועל. בהתאם לסעיף 80 לחוק ההוצאה לפועל, תשכ""ז–1967, החלטות רשם ההוצאה לפועל ניתנות לערעור בפני בית המשפט המוסמך. לפי סעיף 80 לחוק, ככל שההחלטה ניתנה על ידי רשם ההוצאה לפועל, הערעור יוגש לבית המשפט שאליו משתייך אותו רשם – בדרך כלל בית משפט השלום. עם זאת, אם ההחלטה ניתנה במסגרת תיק הוצאה לפועל של פסק דין שניתן בבית משפט מחוזי, הערעור יוגש לבית המשפט המחוזי.",ChatGPT,1,0,"סעיף 80 חוק ההוצאה לפועל תשכ""ז–1967 $!$ ערעור על החלטות רשם ההוצאה לפועל $!$ סמכות בית המשפט בערעורי הוצאה לפועל $!$ הגשת ערעור על החלטת רשם הוצאה לפועל בהתאם לסוג התיק"
